@relation combi
@attribute Id numeric
@attribute Alley {'None','Pave','Grvl'}
@attribute BedroomAbvGr numeric
@attribute BldgType string
@attribute BsmtCond {'None','Po','Fa','TA','Gd','Ex'}
@attribute BsmtExposure {'None','No','Mn','Av','Gd'}
@attribute BsmtFinSF1 numeric
@attribute BsmtFinSF2 numeric
@attribute BsmtFinType1 {'None','Unf','LwQ','Rec','BLQ','ALQ','GLQ'}
@attribute BsmtFinType2 {'None','Unf','LwQ','Rec','BLQ','ALQ','GLQ'}
@attribute BsmtFullBath numeric
@attribute BsmtHalfBath numeric
@attribute BsmtQual {'None','Po','Fa','TA','Gd','Ex'}
@attribute BsmtUnfSF numeric
@attribute CentralAir {'N','Y'}
@attribute Condition1 string
@attribute Condition2 string
@attribute Electrical string
@attribute EnclosedPorch numeric
@attribute ExterCond {'Po','Fa','TA','Gd','Ex'}
@attribute Exterior1st string
@attribute Exterior2nd string
@attribute ExterQual {'Po','Fa','TA','Gd','Ex'}
@attribute Fence {'None','MnWw','GdWo','MnPrv','GdPrv'}
@attribute FireplaceQu {'None','Po','Fa','TA','Gd','Ex'}
@attribute Fireplaces numeric
@attribute Foundation string
@attribute FullBath numeric
@attribute Functional {'Sal','Sev','Maj2','Maj1','Mod','Min2','Min1','Typ'}
@attribute GarageArea numeric
@attribute GarageCars numeric
@attribute GarageCond {'None','Po','Fa','TA','Gd','Ex'}
@attribute GarageFinish {'None','Unf','RFn','Fin'}
@attribute GarageQual {'None','Po','Fa','TA','Gd','Ex'}
@attribute GarageType string
@attribute GarageYrBlt numeric
@attribute GrLivArea numeric
@attribute HalfBath numeric
@attribute Heating string
@attribute HeatingQC {'Po','Fa','TA','Gd','Ex'}
@attribute HouseStyle string
@attribute KitchenAbvGr numeric
@attribute KitchenQual {'Po','Fa','TA','Gd','Ex'}
@attribute LandSlope {'Sev','Mod','Gtl'}
@attribute LotArea numeric
@attribute LotConfig string
@attribute LotFrontage numeric
@attribute LotShape {'IR3','IR2','IR1','Reg'}
@attribute LowQualFinSF numeric
@attribute MasVnrArea numeric
@attribute MasVnrType string
@attribute MiscFeature string
@attribute MiscVal numeric
@attribute MoSold {'1','2','3','4','5','6','7','8','9','10','11','12'}
@attribute MSSubClass {'20','30','40','45','50','60','70','75','80','85','90','120','150','160','180','190'}
@attribute MSZoning string
@attribute Neighborhood string
@attribute OpenPorchSF numeric
@attribute OverallCond {'1','2','3','4','5','6','7','8','9'}
@attribute OverallQual numeric
@attribute PavedDrive {'N','P','Y'}
@attribute PoolArea numeric
@attribute PoolQC {'None','Fa','TA','Gd','Ex'}
@attribute RoofMatl string
@attribute RoofStyle string
@attribute SaleCondition string
@attribute SaleType string
@attribute ScreenPorch numeric
@attribute Street {'Pave','Grvl'}
@attribute TotalBsmtSF numeric
@attribute TotRmsAbvGrd numeric
@attribute Utilities string
@attribute WoodDeckSF numeric
@attribute X1stFlrSF numeric
@attribute X2ndFlrSF numeric
@attribute X3SsnPorch numeric
@attribute YearBuilt numeric
@attribute YearRemodAdd numeric
@attribute YrSold {'2006','2007','2008','2009','2010'}
@attribute SalePrice numeric
@data
1,'None',3,'1Fam','TA','No',706,0,'GLQ','Unf',1,0,'Gd',150,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','None',0,'PConc',2,'Typ',548,2,'TA','RFn','TA','Attchd',2003,1710,1,'GasA','Ex','2Story',1,'Gd','Gtl',8450,'Inside',65,'Reg',0,196,'BrkFace','None',0,'2','60','RL','CollgCr',61,'5',7,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',856,8,'AllPub',0,856,854,0,2003,2003,'2008',208500
2,'None',3,'1Fam','TA','Gd',978,0,'ALQ','Unf',0,1,'Gd',284,'Y','Feedr','Norm','SBrkr',0,'TA','MetalSd','MetalSd','TA','None','TA',1,'CBlock',2,'Typ',460,2,'TA','RFn','TA','Attchd',1976,1262,0,'GasA','Ex','1Story',1,'TA','Gtl',9600,'FR2',80,'Reg',0,0,'None','None',0,'5','20','RL','Veenker',0,'8',6,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1262,6,'AllPub',298,1262,0,0,1976,1976,'2007',181500
3,'None',3,'1Fam','TA','Mn',486,0,'GLQ','Unf',1,0,'Gd',434,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','TA',1,'PConc',2,'Typ',608,2,'TA','RFn','TA','Attchd',2001,1786,1,'GasA','Ex','2Story',1,'Gd','Gtl',11250,'Inside',68,'IR1',0,162,'BrkFace','None',0,'9','60','RL','CollgCr',42,'5',7,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',920,6,'AllPub',0,920,866,0,2001,2002,'2008',223500
4,'None',3,'1Fam','Gd','No',216,0,'ALQ','Unf',1,0,'TA',540,'Y','Norm','Norm','SBrkr',272,'TA','Wd Sdng','Wd Shng','TA','None','Gd',1,'BrkTil',1,'Typ',642,3,'TA','Unf','TA','Detchd',1998,1717,0,'GasA','Gd','2Story',1,'Gd','Gtl',9550,'Corner',60,'IR1',0,0,'None','None',0,'2','70','RL','Crawfor',35,'5',7,'Y',0,'None','CompShg','Gable','Abnorml','WD',0,'Pave',756,7,'AllPub',0,961,756,0,1915,1970,'2006',140000
5,'None',4,'1Fam','TA','Av',655,0,'GLQ','Unf',1,0,'Gd',490,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','TA',1,'PConc',2,'Typ',836,3,'TA','RFn','TA','Attchd',2000,2198,1,'GasA','Ex','2Story',1,'Gd','Gtl',14260,'FR2',84,'IR1',0,350,'BrkFace','None',0,'12','60','RL','NoRidge',84,'5',8,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1145,9,'AllPub',192,1145,1053,0,2000,2000,'2008',250000
6,'None',1,'1Fam','TA','No',732,0,'GLQ','Unf',1,0,'Gd',64,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','TA','MnPrv','None',0,'Wood',1,'Typ',480,2,'TA','Unf','TA','Attchd',1993,1362,1,'GasA','Ex','1.5Fin',1,'TA','Gtl',14115,'Inside',85,'IR1',0,0,'None','Shed',700,'10','50','RL','Mitchel',30,'5',5,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',796,5,'AllPub',40,796,566,320,1993,1995,'2009',143000
7,'None',3,'1Fam','TA','Av',1369,0,'GLQ','Unf',1,0,'Ex',317,'Y','Norm','Norm','SBrkr',0,'TA','VinylSd','VinylSd','Gd','None','Gd',1,'PConc',2,'Typ',636,2,'TA','RFn','TA','Attchd',2004,1694,0,'GasA','Ex','1Story',1,'Gd','Gtl',10084,'Inside',75,'Reg',0,186,'Stone','None',0,'8','20','RL','Somerst',57,'5',8,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1686,7,'AllPub',255,1694,0,0,2004,2005,'2007',307000
8,'None',3,'1Fam','TA','Mn',859,32,'ALQ','BLQ',1,0,'Gd',216,'Y','PosN','Norm','SBrkr',228,'TA','HdBoard','HdBoard','TA','None','TA',2,'CBlock',2,'Typ',484,2,'TA','RFn','TA','Attchd',1973,2090,1,'GasA','Ex','2Story',1,'TA','Gtl',10382,'Corner',80,'IR1',0,240,'Stone','Shed',350,'11','60','RL','NWAmes',204,'6',7,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',1107,7,'AllPub',235,1107,983,0,1973,1973,'2009',200000
9,'None',2,'1Fam','TA','No',0,0,'Unf','Unf',0,0,'TA',952,'Y','Artery','Norm','FuseF',205,'TA','BrkFace','Wd Shng','TA','None','TA',2,'BrkTil',2,'Min1',468,2,'TA','Unf','Fa','Detchd',1931,1774,0,'GasA','Gd','1.5Fin',2,'TA','Gtl',6120,'Inside',51,'Reg',0,0,'None','None',0,'4','50','RM','OldTown',0,'5',7,'Y',0,'None','CompShg','Gable','Abnorml','WD',0,'Pave',952,8,'AllPub',90,1022,752,0,1931,1950,'2008',129900
10,'None',2,'2fmCon','TA','No',851,0,'GLQ','Unf',1,0,'TA',140,'Y','Artery','Artery','SBrkr',0,'TA','MetalSd','MetalSd','TA','None','TA',2,'BrkTil',1,'Typ',205,1,'TA','RFn','Gd','Attchd',1939,1077,0,'GasA','Ex','1.5Unf',2,'TA','Gtl',7420,'Corner',50,'Reg',0,0,'None','None',0,'1','190','RL','BrkSide',4,'6',5,'Y',0,'None','CompShg','Gable','Normal','WD',0,'Pave',991,5,'AllPub',0,1077,0,0,1939,1950,'2008',118000
